Track hddd.ddddd° WGS-84
Breite      	Länge       	 Time     	 Flag	Descr.	Alt
N 47.68615° 	E012.05685° 	 0 	 3 	KSRWNWLDLPSP	1006
N 47.68619° 	E012.05687° 	 0 	 0 		1005
N 47.68619° 	E012.05684° 	 0 	 0 		1006
N 47.68618° 	E012.05686° 	 0 	 0 		1005
N 47.68624° 	E012.05678° 	 0 	 0 		1005
N 47.68634° 	E012.05664° 	 0 	 0 		1007
N 47.68641° 	E012.05651° 	 0 	 0 		1006
N 47.68645° 	E012.05643° 	 0 	 0 		1006
N 47.68645° 	E012.05645° 	 0 	 0 		1006
N 47.68655° 	E012.05638° 	 0 	 0 		1006
N 47.68655° 	E012.05636° 	 0 	 0 		1006
N 47.68659° 	E012.0561° 	 0 	 0 		1005
N 47.68661° 	E012.05603° 	 0 	 0 		1005
N 47.68659° 	E012.05573° 	 0 	 0 		1005
N 47.68658° 	E012.05565° 	 0 	 0 		1006
N 47.68652° 	E012.0554° 	 0 	 0 		1006
N 47.6865° 	E012.05533° 	 0 	 0 		1007
N 47.68651° 	E012.05529° 	 0 	 0 		1005
N 47.68656° 	E012.05526° 	 0 	 0 		1008
N 47.68658° 	E012.05525° 	 0 	 0 		1007
N 47.68665° 	E012.0552° 	 0 	 0 		1008
N 47.68673° 	E012.05517° 	 0 	 0 		1010
N 47.68684° 	E012.05512° 	 0 	 0 		1010
N 47.68692° 	E012.0551° 	 0 	 0 		1010
N 47.687° 	E012.05506° 	 0 	 0 		1010
N 47.68699° 	E012.05507° 	 0 	 0 		1010
N 47.68705° 	E012.05502° 	 0 	 0 		1010
N 47.68713° 	E012.05497° 	 0 	 0 		1010
N 47.68725° 	E012.05491° 	 0 	 0 		1008
N 47.68739° 	E012.05487° 	 0 	 0 		1008
N 47.68755° 	E012.05483° 	 0 	 0 		1007
N 47.68772° 	E012.05478° 	 0 	 0 		1007
N 47.68789° 	E012.05472° 	 0 	 0 		1007
N 47.68805° 	E012.05464° 	 0 	 0 		1010
N 47.68818° 	E012.05445° 	 0 	 0 		1009
N 47.68826° 	E012.05426° 	 0 	 0 		1009
N 47.68834° 	E012.05412° 	 0 	 0 		1009
N 47.68841° 	E012.05404° 	 0 	 0 		1010
N 47.68845° 	E012.05405° 	 0 	 0 		1010
N 47.6885° 	E012.05396° 	 0 	 0 		1011
N 47.68849° 	E012.05383° 	 0 	 0 		1011
N 47.68849° 	E012.05357° 	 0 	 0 		1012
N 47.68858° 	E012.05339° 	 0 	 0 		1014
N 47.68869° 	E012.05349° 	 0 	 0 		1015
N 47.6888° 	E012.05365° 	 0 	 0 		1017
N 47.68895° 	E012.05376° 	 0 	 0 		1017
N 47.68905° 	E012.05384° 	 0 	 0 		1018
N 47.68906° 	E012.05384° 	 0 	 0 		1018
N 47.68916° 	E012.05395° 	 0 	 0 		1017
N 47.68924° 	E012.054° 	 0 	 0 		1017
N 47.68928° 	E012.05396° 	 0 	 0 		1017
N 47.68932° 	E012.0538° 	 0 	 0 		1020
N 47.68932° 	E012.05377° 	 0 	 0 		1021
N 47.68932° 	E012.05374° 	 0 	 0 		1022
N 47.68932° 	E012.05365° 	 0 	 0 		1021
N 47.68929° 	E012.0536° 	 0 	 0 		1022
N 47.68921° 	E012.05349° 	 0 	 0 		1022
N 47.68921° 	E012.05346° 	 0 	 0 		1022
