Version 2
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)"
N,KSRWNWLDLPSP|Default Color|1,47.6861496,12.0568466,1,1,2001,0,0,0,1006,1e25
T,,47.6861916,12.0568676,1,1,2001,0,0,0,1005,1e25
T,,47.6861916,12.0568419,1,1,2001,0,0,0,1006,1e25
T,,47.6861839,12.0568562,1,1,2001,0,0,0,1005,1e25
T,,47.6862411,12.0567780,1,1,2001,0,0,0,1005,1e25
T,,47.6863403,12.0566378,1,1,2001,0,0,0,1007,1e25
T,,47.6864052,12.0565062,1,1,2001,0,0,0,1006,1e25
T,,47.6864548,12.0564299,1,1,2001,0,0,0,1006,1e25
T,,47.6864548,12.0564451,1,1,2001,0,0,0,1006,1e25
T,,47.6865463,12.0563841,1,1,2001,0,0,0,1006,1e25
T,,47.6865540,12.0563583,1,1,2001,0,0,0,1006,1e25
T,,47.6865883,12.0560989,1,1,2001,0,0,0,1005,1e25
T,,47.6866112,12.0560303,1,1,2001,0,0,0,1005,1e25
T,,47.6865921,12.0557337,1,1,2001,0,0,0,1005,1e25
T,,47.6865807,12.0556479,1,1,2001,0,0,0,1006,1e25
T,,47.6865196,12.0553989,1,1,2001,0,0,0,1006,1e25
T,,47.6865005,12.0553312,1,1,2001,0,0,0,1007,1e25
T,,47.6865120,12.0552893,1,1,2001,0,0,0,1005,1e25
T,,47.6865578,12.0552645,1,1,2001,0,0,0,1008,1e25
T,,47.6865845,12.0552492,1,1,2001,0,0,0,1007,1e25
T,,47.6866531,12.0552034,1,1,2001,0,0,0,1008,1e25
T,,47.6867294,12.0551682,1,1,2001,0,0,0,1010,1e25
T,,47.6868362,12.0551186,1,1,2001,0,0,0,1010,1e25
T,,47.6869164,12.0550957,1,1,2001,0,0,0,1010,1e25
T,,47.6869965,12.0550594,1,1,2001,0,0,0,1010,1e25
T,,47.6869888,12.0550680,1,1,2001,0,0,0,1010,1e25
T,,47.6870461,12.0550241,1,1,2001,0,0,0,1010,1e25
T,,47.6871300,12.0549698,1,1,2001,0,0,0,1010,1e25
T,,47.6872482,12.0549116,1,1,2001,0,0,0,1008,1e25
